vi_tri_xep_hang,nghe_si,ten_bai_hat,vi_tri_cao_nhat,vi_tri_tuan_truoc,so_tuan_tren_bang_xep_hang,luot_nghe,bai_hat_moi,thay_doi_thu_hang,nhom_luot_nghe,do_ben
153,Junior H,Y LLORO,55,156,21,9049234,False,3,Thấp,Dài hạn
154,"Grupo Frontera, Grupo Firme",EL AMOR DE SU VIDA,47,141,30,9043595,False,-13,Thấp,Dài hạn
155,"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),1,160,137,9018161,False,5,Thấp,Dài hạn
156,"Feid, Young Miko",CLASSY 101,8,140,48,9000644,False,-16,Thấp,Dài hạn
157,Ed Sheeran,Perfect,4,150,361,8993160,False,-7,Thấp,Dài hạn
158,Creedence Clearwater Revival,Fortunate Son,158,196,2,8978610,False,38,Thấp,Ngắn hạn
159,"Don Omar, Lucenzo",Danza Kuduro,104,181,23,8969190,False,22,Thấp,Dài hạn
160,KAROL G,MI EX TENÍA RAZÓN,22,162,26,8959192,False,2,Thấp,Dài hạn
161,Glass Animals,Heat Waves,1,164,162,8893865,False,3,Thấp,Dài hạn
162,Arctic Monkeys,505,43,163,112,8892462,False,1,Thấp,Dài hạn
163,Bad Bunny,MONACO,1,175,20,8862993,False,12,Thấp,Dài hạn
164,Milo j,M.A.I,159,167,4,8768725,False,3,Thấp,Ngắn hạn
165,"Kendrick Lamar, SZA",All The Stars (with SZA),2,-1,45,8740472,True,-166,Thấp,Dài hạn
166,Conan Gray,Heather,12,165,151,8731118,False,-1,Thấp,Dài hạn
167,The Weeknd,The Hills,52,166,97,8715833,False,-1,Thấp,Dài hạn
168,One Direction,Night Changes,108,-1,70,8703759,True,-169,Thấp,Dài hạn
169,Arctic Monkeys,Do I Wanna Know?,98,177,126,8697506,False,8,Thấp,Dài hạn
170,"Elton John, Dua Lipa, PNAU",Cold Heart - PNAU Remix,4,176,127,8670411,False,6,Thấp,Dài hạn
171,Maroon 5,Maps,171,-1,9,8667140,True,-172,Thấp,Trung hạn
172,Coldplay,The Scientist,134,185,29,8663354,False,13,Thấp,Dài hạn
173,Rauw Alejandro,DILUVIO,59,186,16,8652195,False,13,Thấp,Dài hạn
174,"Metro Boomin, Future, Don Toliver",Too Many Nights (feat. Don Toliver & with Future),33,161,51,8651929,False,-13,Thấp,Dài hạn
175,"Stephen Sanchez, Em Beihold",Until I Found You (with Em Beihold) - Em Beihold Version,10,178,61,8640632,False,3,Thấp,Dài hạn
176,Bob Marley & The Wailers,Could You Be Loved,176,188,2,8628041,False,12,Thấp,Ngắn hạn
177,Benson Boone,In The Stars,54,-1,20,8623374,True,-178,Thấp,Dài hạn
178,"Calle 24, Chino Pacas",Apaga El Cel,171,171,4,8599545,False,-7,Thấp,Ngắn hạn
179,LE SSERAFIM,Perfect Night,57,172,17,8564195,False,-7,Thấp,Dài hạn
180,Travis Scott,goosebumps,13,169,236,8539649,False,-11,Thấp,Dài hạn
181,New West,Those Eyes,86,189,48,8512951,False,8,Thấp,Dài hạn
182,James Arthur,Say You Won't Let Go,7,183,295,8500871,False,1,Thấp,Dài hạn
183,"Metro Boomin, Travis Scott, Young Thug",Trance (with Travis Scott & Young Thug),65,194,39,8497153,False,11,Thấp,Dài hạn
184,a-ha,Take on Me,83,193,28,8469956,False,9,Thấp,Dài hạn
185,Frank Ocean,Thinkin Bout You,185,-1,1,8435333,True,-186,Thấp,Ngắn hạn
186,Taylor Swift,Karma,8,174,44,8414838,False,-12,Thấp,Dài hạn
187,Avicii,Wake Me Up,13,-1,95,8413631,True,-188,Thấp,Dài hạn
188,"USHER, Lil Jon, Ludacris",Yeah! (feat. Lil Jon & Ludacris),74,135,3,8413514,False,-53,Thấp,Ngắn hạn
189,"Dimitri Vegas & Like Mike, Tiësto, Dido, W&W, Dimitri Vegas, Like Mike",Thank You (Not So Bad),189,-1,1,8412394,True,-190,Thấp,Ngắn hạn
190,"Ofenbach, Norma Jean Martine",Overdrive (feat. Norma Jean Martine),190,-1,2,8401624,True,-191,Thấp,Ngắn hạn
191,Plan B,Es un Secreto,157,187,21,8388951,False,-4,Thấp,Dài hạn
192,Radiohead,Creep,143,195,32,8372387,False,3,Thấp,Dài hạn
193,Mahmood,TUTA GOLD,38,78,3,8364324,False,-115,Thấp,Ngắn hạn
194,Luke Combs,Fast Car,82,154,29,8353526,False,-40,Thấp,Dài hạn
195,"Kanye West, Pusha T",Runaway,138,157,11,8349941,False,-38,Thấp,Trung hạn
196,"Junior H, Peso Pluma",A Tu Manera,155,155,2,8288567,False,-41,Thấp,Ngắn hạn
197,Steve Lacy,Dark Red,66,184,115,8285963,False,-13,Thấp,Dài hạn
198,Hozier,Take Me To Church,108,182,130,8279884,False,-16,Thấp,Dài hạn
199,Eminem,The Real Slim Shady,51,190,121,8271309,False,-9,Thấp,Dài hạn
200,Imagine Dragons,Bones,26,-1,95,8270349,True,-201,Thấp,Dài hạn
1,Benson Boone,Beautiful Things,1,1,7,50093515,False,0,Rất cao,Trung hạn
2,"¥$, Kanye West, Ty Dolla $ign",CARNIVAL,2,3,4,45279771,False,1,Rất cao,Ngắn hạn
3,Djo,End of Beginning,3,11,3,38831906,False,8,Rất cao,Ngắn hạn
4,Tate McRae,greedy,1,5,25,36520027,False,1,Rất cao,Dài hạn
5,Beyoncé,TEXAS HOLD 'EM,2,2,4,35016943,False,-3,Rất cao,Ngắn hạn
6,Taylor Swift,Cruel Summer,2,4,57,32568549,False,-2,Rất cao,Dài hạn
7,Teddy Swims,Lose Control,7,7,17,31732013,False,0,Rất cao,Dài hạn
8,"The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)",3,8,22,28771218,False,0,Rất cao,Dài hạn
9,Mitski,My Love Mine All Mine,3,10,24,27385786,False,1,Rất cao,Dài hạn
10,Xavi,La Diabla,1,6,13,27328522,False,-4,Rất cao,Dài hạn
11,Noah Kahan,Stick Season,6,9,22,26463313,False,-2,Rất cao,Dài hạn
12,21 Savage,redrum,8,12,8,25824302,False,0,Rất cao,Trung hạn
13,"FloyyMenor, Cris Mj",Gata Only,13,20,4,24608844,False,7,Rất cao,Ngắn hạn
14,"Feid, ATL Jacob",LUNA,9,14,13,23442845,False,0,Rất cao,Dài hạn
15,Jack Harlow,Lovin On Me,3,15,17,22163590,False,0,Rất cao,Dài hạn
16,YG Marley,Praise Jah In The Moonlight,13,13,6,21900494,False,-3,Rất cao,Trung hạn
17,Natasha Bedingfield,Unwritten,16,16,8,21011284,False,-1,Rất cao,Trung hạn
18,SZA,Saturn,17,17,2,20564197,False,-1,Rất cao,Ngắn hạn
19,"Travis Scott, Playboi Carti",FE!N (feat. Playboi Carti),5,40,25,19807496,False,21,Rất cao,Dài hạn
20,Arctic Monkeys,I Wanna Be Yours,15,18,87,19801923,False,-2,Rất cao,Dài hạn
21,Xavi,La Víctima,8,19,15,18219485,False,-2,Rất cao,Dài hạn
22,Dua Lipa,Houdini,6,23,17,18136154,False,1,Rất cao,Dài hạn
23,Dua Lipa,Training Season,15,21,3,17918178,False,-2,Rất cao,Ngắn hạn
24,"Bad Bunny, Feid",PERRO NEGRO,4,25,21,17854144,False,1,Rất cao,Dài hạn
25,"The Weeknd, Playboi Carti, Madonna",Popular (with Playboi Carti & Madonna),12,22,40,17750858,False,-3,Rất cao,Dài hạn
26,Myke Towers,LA FALDA,24,24,10,17724770,False,-2,Rất cao,Trung hạn
27,Tyla,Water,12,36,24,17563266,False,9,Rất cao,Dài hạn
28,"Jung Kook, Latto",Seven (feat. Latto) (Explicit Ver.),1,26,34,17416610,False,-2,Rất cao,Dài hạn
29,Lord Huron,The Night We Met,28,28,72,17257115,False,-1,Rất cao,Dài hạn
30,Ariana Grande,"yes, and?",1,27,8,17198891,False,-3,Rất cao,Trung hạn
31,Miley Cyrus,Flowers,1,30,60,16884246,False,-1,Rất cao,Dài hạn
32,"KAROL G, Peso Pluma",QLONA,5,29,30,16830188,False,-3,Rất cao,Dài hạn
33,Kenya Grace,Strangers,4,31,27,16794734,False,-2,Rất cao,Dài hạn
34,"The Weeknd, Daft Punk",Starboy,1,33,179,16429229,False,-1,Rất cao,Dài hạn
35,Olivia Rodrigo,vampire,1,32,36,16374485,False,-3,Rất cao,Dài hạn
36,"Zach Bryan, Kacey Musgraves",I Remember Everything (feat. Kacey Musgraves),20,35,28,15892727,False,-1,Rất cao,Dài hạn
37,Doja Cat,Paint The Town Red,1,37,31,15135409,False,0,Rất cao,Dài hạn
38,Bryson Tiller,Whatever She Wants,38,89,2,15104863,False,51,Rất cao,Ngắn hạn
39,SZA,Snooze,27,34,63,14995277,False,-5,Cao,Dài hạn
40,David Kushner,Daylight,5,46,47,14948807,False,6,Cao,Dài hạn
41,Flo Milli,Never Lose Me,25,45,8,14932313,False,4,Cao,Trung hạn
42,Rich Amiri,ONE CALL,42,53,6,14794253,False,11,Cao,Trung hạn
43,Harry Styles,As It Was,1,48,101,14779137,False,5,Cao,Dài hạn
44,"KAROL G, Tiësto",CONTIGO (with Tiësto),28,44,3,14718822,False,0,Cao,Ngắn hạn
45,Jung Kook,Standing Next to You,1,-1,17,14492909,True,-46,Cao,Dài hạn
46,Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",3,49,34,14441106,False,3,Cao,Dài hạn
47,"Peso Pluma, Anitta",BELLAKEO,10,47,13,14334853,False,0,Cao,Dài hạn
48,"Kali Uchis, Peso Pluma",Igual Que Un Ángel (with Peso Pluma),11,42,8,14133599,False,-6,Cao,Trung hạn
49,"Maluma, Carin Leon",Según Quién,17,68,25,14072604,False,19,Cao,Dài hạn
50,Bruno Mars,Locked out of Heaven,39,86,91,14027819,False,36,Cao,Dài hạn
51,Sabrina Carpenter,Feather,34,52,14,13953492,False,1,Cao,Dài hạn
52,"¥$, Kanye West, Ty Dolla $ign",BURN,21,43,4,13919105,False,-9,Cao,Ngắn hạn
53,Coldplay,Viva La Vida,53,101,80,13889198,False,48,Cao,Dài hạn
54,Taylor Swift,Lover,2,56,57,13561863,False,2,Cao,Dài hạn
55,Sophie Ellis-Bextor,Murder On The Dancefloor,13,50,10,13339581,False,-5,Cao,Trung hạn
56,"Calle 24, Chino Pacas, Fuerza Regida",Que Onda,16,54,27,13243800,False,-2,Cao,Dài hạn
57,The Weeknd,Blinding Lights,1,61,223,13243226,False,4,Cao,Dài hạn
58,Doja Cat,Agora Hills,16,79,24,13119924,False,21,Cao,Dài hạn
